Date,id,transaction_kind,event_user,transaction_type,message,decline_reason_id,comment,player_id,brand_id,provider_transaction_id,channel,nominal_amount,nominal_currency,paid_amount,paid_currency,provider_id,payment_method_name,status
1/1/2021 16:11,15,Player,System,withdrawal,,,,4,RR,856,DESKTOP_AIR_PM,1,EUR,1,EUR,2,Visa/MC,Completed
1/1/2021 17:16,16,Player,System,deposit,,,,1,RR,536,DESKTOP_AIR_PM,20,EUR,20,EUR,4,Visa/MC(main23),Approved
1/1/2021 17:40,17,Player,System,withdrawal,,,,1,RR,536,DESKTOP_AIR_PM,20,EUR,20,EUR,4,sad,Completed
1/1/2021 16:40:00 PM,18,Player,System,deposit,,,error,1,RR,536,DESKTOP_AIR_PM,20,EUR,20,EUR,4,Visa/MC(main23),Failed
1/1/2021 19:26,19,Player,System,deposit,,,error,5,RR,759,DESKTOP_AIR_PM,5,EUR,5,EUR,1,Visa/MC,Failed
1/1/2021 20:31,20,Player,System,deposit,,,,5,RR,874,DESKTOP_AIR_PM,5,EUR,5,EUR,1,Visa/MC,Issued
1/1/2021 21:36,21,Player,System,deposit,,,,8,RR,882,DESKTOP_AIR_PM,6.89,EUR,6.89,EUR,2,Visa/MC(main23),Approved
1/1/2021 22:41,22,Player,System,deposit,,,,1,RR,594,DESKTOP_AIR_PM,1,EUR,1,EUR,1,Visa/MC(main23),Approved
1/1/2021 23:46,23,Player,System,deposit,,,,5,RR,522,DESKTOP_AIR_PM,5,EUR,5,EUR,4,Visa/MC(main23),Approved
1/2/2021 0:51,24,Manual,System,deposit,,,,1,RR,257,DESKTOP_AIR_PM,5,EUR,5,EUR,1,,Approved
1/2/2021 1:56,25,Player,System,withdrawal,,27,error,7,RR,806,DESKTOP_AIR_PM,6.89,EUR,6.89,EUR,3,Visa/MC,Declined
1/2/2021 3:01,26,Player,System,deposit,,,,8,RR,331,DESKTOP_AIR_PM,15,EUR,15,EUR,0,sad,Approved
1/2/2021 4:06,27,WriteOff,System,write-off,,,,2,RR,229,DESKTOP_AIR_PM,5,EUR,5,EUR,0,,Completed
1/2/2021 5:11,28,Player,System,deposit,,,error,0,RR,474,DESKTOP_AIR_PM,20,EUR,20,EUR,4,Visa/MC,Failed
1/2/2021 6:16,29,Player,System,deposit,,,,8,RR,1,DESKTOP_AIR_PM,15,EUR,15,EUR,1,Visa/MC(main23),Approved
1/2/2021 7:21,30,Player,System,deposit,,,,3,RR,4,DESKTOP_AIR_PM,30,EUR,30,EUR,0,Visa/MC,Issued
1/2/2021 8:26,31,Player,System,deposit,,,error,7,RR,703,DESKTOP_AIR_PM,50,EUR,50,EUR,1,Visa/MC,Failed
1/2/2021 9:31,32,Player,System,deposit,,,error,3,RR,598,DESKTOP_AIR_PM,10,EUR,10,EUR,3,Visa/MC(main23),Failed
1/2/2021 10:36,33,Player,System,deposit,,,error,7,RR,425,DESKTOP_AIR_PM,11,EUR,11,EUR,2,Visa/MC(main23),Failed
1/2/2021 11:41,34,Player,System,deposit,,,,6,RR,403,DESKTOP_AIR_PM,20,EUR,20,EUR,0,Visa/MC,Issued
1/2/2021 12:46,35,Player,System,deposit,,,error,1,RR,641,DESKTOP_AIR_PM,20,EUR,20,EUR,0,Visa/MC(main23),Failed
1/2/2021 13:51,36,Player,System,deposit,,,,7,RR,442,DESKTOP_AIR_PM,10,EUR,10,EUR,2,Visa/MC,Issued
1/2/2021 14:56,37,Player,System,deposit,,,error,2,RR,752,DESKTOP_AIR_PM,11,EUR,11,EUR,1,Visa/MC(main23),Failed
1/2/2021 16:01,38,Player,System,deposit,,,error,6,RR,360,DESKTOP_AIR_PM,10,EUR,10,EUR,2,Visa/MC(main23),Failed
1/2/2021 17:06,39,Player,System,deposit,,,error,1,RR,805,DESKTOP_AIR_PM,30,EUR,30,EUR,1,Visa/MC(main23),Failed
1/2/2021 18:11,40,Player,System,deposit,,,error,1,RR,206,DESKTOP_AIR_PM,30,EUR,30,EUR,4,Visa/MC(main23),Failed
